P_used, P_req, V_h, V_c, Re_h, Re_c, U [W/(m*degC)]
1, 591, 2.0310940756229927, 0.9615319405106736, 1270, 405, 5901.988636363636
2, 493, 1.0155470378114964, 0.4807659702553368, 1270, 405, 3535.714285714286
3, 447, 0.6770313585409976, 0.3205106468368912, 1270, 405, 2597.4193548387098
4, 418, 0.5077735189057482, 0.2403829851276684, 1270, 405, 2085.9437751004016
5, 394, 0.40621881512459856, 0.1923063881021347, 1270, 405, 1770.1421800947867
6, 379, 0.3385156792704988, 0.1602553234184456, 1270, 405, 1534.4262295081967
7, 366, 0.2901562965175704, 0.13736170578723908, 1270, 405, 1361.8696186961868
8, 356, 0.2538867594528741, 0.1201914925638342, 1270, 405, 1223.1292517006802
9, 342, 0.22567711951366587, 0.10683688227896374, 1270, 405, 1132.3442136498518
10, 333, 0.20310940756229928, 0.09615319405106736, 1270, 405, 1046.067415730337
11, 324, 0.1846449159657266, 0.08741199459187941, 1270, 405, 976.7123287671233
12, 318, 0.1692578396352494, 0.0801276617092228, 1270, 405, 913.5531135531136
13, 311, 0.15623800581715327, 0.07396399542389796, 1270, 405, 861.0789980732177
14, 307, 0.1450781482587852, 0.06868085289361954, 1270, 405, 810.351966873706
15, 302, 0.13540627170819952, 0.06410212936737823, 1270, 405, 770.3056768558951
16, 297, 0.12694337972643704, 0.0600957462819171, 1270, 405, 734.7629796839728
17, 293, 0.11947612209547016, 0.0565607023829808, 1270, 405, 700.9546539379475
18, 288, 0.11283855975683293, 0.05341844113948187, 1270, 405, 671.604938271605
19, 284, 0.10689968819068382, 0.050606944237403875, 1270, 405, 647.146529562982
20, 280, 0.10155470378114964, 0.04807659702553368, 1270, 405, 622.2311827956989
21, 277, 0.0967187655058568, 0.04578723526241303, 1270, 405, 599.5555555555555
22, 275, 0.0923224579828633, 0.04370599729593971, 1270, 405, 576.867816091954
23, 271, 0.0883084380705649, 0.04180573654394233, 1270, 405, 559.9702380952381
24, 267, 0.0846289198176247, 0.0400638308546114, 1270, 405, 543.5076923076923
25, 265, 0.0812437630249197, 0.03846127762042694, 1270, 405, 526.5814696485623
26, 262, 0.07811900290857664, 0.03698199771194898, 1270, 405, 511.92810457516345
27, 260, 0.07522570650455529, 0.03561229409298791, 1270, 405, 497.2575250836121
28, 256, 0.0725390741293926, 0.03434042644680977, 1270, 405, 486.5277777777778
29, 255, 0.07003772674562043, 0.033156273810712886, 1270, 405, 471.88612099644126
30, 254, 0.06770313585409976, 0.032051064683689116, 1270, 405, 457.2262773722628
31, 251, 0.06551916372977395, 0.03101715937131205, 1270, 405, 448.7686567164179
32, 251, 0.06347168986321852, 0.03004787314095855, 1270, 405, 434.0996168582376
33, 248, 0.06154830532190887, 0.029137331530626472, 1270, 405, 425.6470588235294
34, 246, 0.05973806104773508, 0.0282803511914904, 1270, 405, 417.1887550200803
35, 244, 0.05803125930351408, 0.027472341157447816, 1270, 405, 408.26446280991735
36, 245, 0.05641927987841647, 0.026709220569740934, 1270, 405, 395.8333333333333
37, 239, 0.0548944344762971, 0.02598734974353172, 1270, 405, 393.6170212765957
